question_id,answer_filename,answer_text,answer_correct,source,label
00041_42232,M1_1_01_00041_42232_A.png,"$1$ 은 소수가 아니다. \\[ \\begin{array}{l} 9=3 \\times 3 \\\\ 15=3 \\times 5 \\\\ 27=3 \\times 9 \\\\ 33=3 \\times 11 \\end{array} \\] 따라서, 소수는 $ 2,11,13,17,29 $ 의 $5$ 개이다.  $1$ 보다 큰 자연수 중에서 $1$ 과 그 수 자신만을 약수로 가지는 수를 소수라고 한다.",③,111.수학 과목 문제생성 데이터,training
00041_42233,M1_1_01_00041_42233_A.png,"$ 9=3 \\times 3 $ $ 27=3 \\times 9 $ $ 39=3 \\times 13 $ $ 51=3 \\times 17 $ 따라서 소수가 아닌 수는 $ 9,27,39,51 $ 이다. $1$ 보다 큰 자연수 중에서 $1$ 과 그 수 자신만을 약수로 가지는 수를 소수라고 한다.","$9, 27, 39, 51$",111.수학 과목 문제생성 데이터,training
00041_42234,M1_1_01_00041_42234_A.png,"$8=2 \\times 4 $ $15=3 \\times 5 $ $27=3 \\times 9$ $49=7 \\times 7$따라서 구하는 소수는 $3$, $11$, $13$, $29$, $37$, $53$의 $6$개이다.$1$보다 큰 자연수 중에서 $1$과 그 수 자신만을 약수로 가지는 수를 소수라고 한다.",$6$ 개,111.수학 과목 문제생성 데이터,training
00041_42237,M1_1_01_00041_42237_A.png,"$ 51=3 \\times 17   52=2 \\times 26   54=2 \\times 27 $ 한편, $53$은 $1$과 자기 자신 이외에는 약수가 없으므로 소수이다. $1$보다 큰 자연수 중에서 $1$과 그 수 자신만을 약수로 가지는 수를 소수라고 한다.",$53$,111.수학 과목 문제생성 데이터,training
00041_42251,M1_1_01_00041_42251_A.png,두 자연수의 공약수는 두 자연수의 최대공약수의 약수이므로 $ 2 \\times 3^{2} \\times 5 $ 의 약수의 개수를 구하면 된다. $ \\therefore[A $ 와 $ B $ 의 공약수의 개수 $ ]=[1+1] \\times[2+1] \\times[1+1]=12[ $ 개 $ ] $ 공약수는 최대공약수의 약수이다.,$12$개,111.수학 과목 문제생성 데이터,training
00041_42252,M1_1_01_00041_42252_A.png,두 자연수의 공약수는 두 자연수의 최대공약수의 약수이므로 공약수의 개수는 최대공약수인 $ 2 \\times 3^{2} $ 의 약수의 개수를 구하면 된다. $ \\therefore(  공약수의 개수  )=(1+1) \\times(2+1)=6 $ (개) 공약수는 최대공약수의 약수이다.,$6$개,111.수학 과목 문제생성 데이터,training
00041_42256,M1_1_01_00041_42256_A.png,"$ \\begin{aligned}  2^{3} \\times 3 \\times 5^{2} \\\\  2^{2} \\times 3^{2} \\times 5 \\\\ \\underline{~~~~~~~~~~~~~~~~~~~~60=  2^{2} \\times 3 \\times 5} \\\\ \\therefore \\text { (최대공약수) }=  2^{2} \\times 3 \\times 5=60\\end{aligned} $ 최대공약수는 소인수분해하여 공통인 소인수 중 거듭제곱의 지수가 같은 것은 그대로, 다른 것은 작은 쪽을 택하여 모두 곱한다.",$60$,111.수학 과목 문제생성 데이터,training
00041_42259,M1_1_01_00041_42259_A.png,"$ \\begin{aligned} & 2 \\times 3 \\times 5 \\times 7 \\\\ 60 & =2^{2} \\times 3 \\times 5 \\\\ 90 & =2 \\times 3^{2} \\times 5 \\\\ \\hline\\therefore \\text { [최대 공약수 }]= & 2 \\times 3 \\times 5=30\\end{aligned} $ 최대공약수는 소인수분해하여 공통인 소인수 중 거듭제곱의 지수가 같은 것은 그대로, 다른 것은 작은 쪽을 택하여 모두 곱한다.",$30$,111.수학 과목 문제생성 데이터,training
00041_42260,M1_1_01_00041_42260_A.png,\\(\\begin{array}{c} ~~~~~~~~~~~~~~~~~~~~~~2 \\times 3 \\\\ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~2^{2} \\times 3 \\times 5 \\\\ \\underline {~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~2 \\times 3^{2} \\times 5} \\\\ \\therefore \\text { (최대공약수) }=2 \\times 3=6 \\end{array} \\) 최대공약수는 소인수분해하여 공통인 소인수 중 거틉제곱의 지수가 같은 것은 그대로 다른 것은 작은 쪽을 택하여 모두 곱한다.,$6$,111.수학 과목 문제생성 데이터,training
00041_42263,M1_1_01_00041_42263_A.png,"주어진 네 수 중 두 수를 선택하여 짝지을 때, 두 수의 최대공약수가 $1$ 인 쌍을 찾는다. <table border>   <tbody>     <tr>       <td>두수</td>       <td>3,4</td>       <td>3,5</td>       <td>3,6</td>       <td>4,5</td>       <td>4,6</td>       <td>5,6</td>     </tr>     <tr>       <td>최대공약수</td>       <td>1</td>       <td>1</td>       <td>3</td>       <td>1</td>       <td>2</td>       <td>1</td>     </tr> </tbody> </table> 따라서, 서로소인 두 수는 $3$ 과 $4,3$ 과 $5,4$ 와 $5,5$ 와 $6$ 의 $4$ 쌍이다. 최대공약수가 $1$ 인 두 자연수를 서로소라고 한다.",$4$쌍,111.수학 과목 문제생성 데이터,training
