question_id,answer_filename,answer_text,answer_correct,source,label
00041_35800,M2_1_01_00041_35800_A.png,① $\\frac{1}{2}$=$0.5$ ② $\\frac{3}{4}$ $=0.75$ ③ $\\frac{2}{5}$=$0.4$ ④ $\\frac{7}{10}$=$0.7$ ⑤ $\\frac{20}{15}$ $=1.3333…$따라서 유한소수가 아닌 것은 ⑤이다.  (분자)$\\div$(분모)를 계산하여 나누어떨어지면 유한소수가 된다.,⑤,111.수학 과목 문제생성 데이터,validation
00041_35804,M2_1_01_00041_35804_A.png,$ \\therefore x=\\frac{234}{999}=\\frac{26}{111} \\leftarrow D=\\frac{26}{111} $ (나)에서 (가)를 빼면 우변이 정수가 된다.,"$ A=1000, B=999, C=234, D=\\frac{26}{111} $ $0.\\dot{2}3\\dot{4}$ 를 $ x $ 라 하면 $ x=0.234234234 \\ldots \\ldots \\ldots $ (가) (가)의 양변에 $1000$ 을 곱하면 $ 1000 x=234.234234234 \\ldots \\ldots \\ldots( $나$ ) \\leftarrow A=1000 $ (나)에서 (가)를 빼면",111.수학 과목 문제생성 데이터,validation
00041_35817,M2_1_01_00041_35817_A.png,$0.2 \\dot{3} \\dot{6}=\\frac{234}{990}=\\frac{13}{55} \\\\ $ ① $ 2.3 \\dot{5} \\dot{4}=\\frac{2331}{990}=\\frac{259}{110} $ ②  $ 0.0 \\dot{5} \\dot{4}=\\frac{54}{990}=\\frac{3}{55} $ ③ $ 0.1 \\dot{9} \\dot{2}=\\frac{191}{990} $ ④ $ 0.4\\dot{0}\\dot{9}=\\frac{405}{990}=\\frac{9}{22} $ ⑤ $ 1.4\\dot{0}\\dot{9}=\\frac{1395}{990}=\\frac{31}{22}  \\\\ $ 분자가 $18$의 배수인 것을 찾는다.,②,111.수학 과목 문제생성 데이터,validation
00041_39914,M2_1_01_00041_39914_A.png,(1) $ 0.1121231234 \\cdots $ 는 순환하지 않는 무한소수로 유리수가 아니다. (2) $ \\pi=3.141592 \\ldots $ 는 순환하지 않는 무한소수로 유리수가 아니다. (3) $ 2=\\frac{2}{1}=\\frac{4}{2}=\\ldots $ 로 분수로 나타낼 수 있으므로 유리수이다. (4) $ 1.010010001 \\cdots $ 은 순환하지 않는 무한소수로 유리수가 아니다. (5) $ 3.12=\\frac{312}{100}=\\frac{78}{25} $ 로 분수로 나타낼 수 있으므로 유리수이다. 유리수를 찾는다.,"③, ⑤",111.수학 과목 문제생성 데이터,validation
00041_39925,M2_1_01_00041_39925_A.png,"$ \\frac{21}{2^{2} \\times 5 \\times a}=\\frac{3 \\times 7}{2^{2} \\times 5 \\times a} $ 이므로 기약분수로 고첬을 때, 분모의 소인수가 $2$ 나 $5$만 남아야 한다. ① $ \\frac{3 \\times 7}{2^{2} \\times 5 \\times 2}=\\frac{3 \\times 7}{2^{3} \\times 5} $ (유한소수) ② $ \\frac{3 \\times 7}{2^{2} \\times 5 \\times 3}=\\frac{7}{2^{2} \\times 5} $ (유한소수) ③ $ \\frac{3 \\times 7}{2^{2} \\times 5 \\times 5}=\\frac{3 \\times 7}{2^{2} \\times 5^{2}} $ (유한소수) ④ $ \\frac{3 \\times 7}{2^{2} \\times 5 \\times 7}=\\frac{3}{2^{2} \\times 5} $ (유한소수) ⑤ $ \\frac{3 \\times 7}{2^{2} \\times 5 \\times 9}=\\frac{7}{2^{2} \\times 5 \\times 3} $ ⑤는 기약분수로 나타내었을 때, 분모의 소인수에 $3$이 있으므로 유한소수로 나타낼 수 없다. 기약분수로 고쳤을 때 분모의 소인수가 $2$나 $5$뿐이어야 유한소수가 된다.",⑤,111.수학 과목 문제생성 데이터,validation
00041_39930,M2_1_01_00041_39930_A.png,"$ a x=15 $의 해는 $ x=\\frac{15}{a} $ ① $ \\frac{15}{14}=\\frac{3 \\times 5}{2 \\times 7} $ ② $ \\frac{15}{20}=\\frac{3}{2^{2}} $ (유한소수) ③ $ \\frac{15}{36}=\\frac{5}{2^{2} \\times 3} $ ④ $ \\frac{15}{42}=\\frac{5}{2 \\times 7} $ ⑤ $ \\frac{15}{90}=\\frac{1}{2 \\times 3} $ 따라서, 분모의 소인수가 $ 2 $나 $ 5 $뿐인 것은 ②이다.   유한소수가 되려면 기약분수로 나타내었을 때, 분모의 소인수가 $ 2 $나 $ 5 $뿐이어야 한다.",②,111.수학 과목 문제생성 데이터,validation
00041_39937,M2_1_01_00041_39937_A.png,순환마디는 순환소수에서 소수점 아래의 되풀이 되는 한 부분이다.(1) $3.252525…=3.25$(2) $2.34567567567…=2.34567$(3) $8.921292929…=8.92129$ 소수점 아래의 순환마디의 양 끝의 숫자 위에 점을 찍어 나타낸다.,"(1) 순환마디 : $25$, $3.\\dot{2}\\dot{5}$ (2) 순환마디 : $567$, $2.34\\dot{5}\\dot{6\\dot{7}}$ (3) 순환마디 : $29$, $8.921\\dot{2}\\dot{9}$",111.수학 과목 문제생성 데이터,validation
00041_39955,M2_1_01_00041_39955_A.png,(1) $ \\frac{3}{4}=3 \\div 4=0.75 $ (유한소수) (2) $ \\frac{11}{6}=11 \\div 6=1.8333 \\ldots $ (무한소수) (3) $ \\frac{3}{5}=3 \\div 5=0.6 $ (유한소수) (4) $ \\frac{1}{6}=1 \\div 6=0.1666 \\ldots $ (무한소수)<BR> (분자) $ \\div( $ 분모)를 하여 소수점 아래의 0이 아닌 숫자를 셀 수 있으면 유한소수. 셀 수 없으면 무한소수이다.,(1) $0.75$ (유한소수) (2) $ 1.8333 \\ldots $ (무한소수) <BR> (3) $0.6$ (유한소수) (4) $ 0.1666 \\ldots $ (무한소수) <BR>,111.수학 과목 문제생성 데이터,validation
00041_39994,M2_1_01_00041_39994_A.png,"소수점 아래 셋째 자리까지는 모두 같고 넷째 자리의 숫자가 7이 가장 크므로 $ 0.12 \\dot{7} $ 이 가장 큰 수이고, 넷째 자리의 숫자가 없는 $0.127$ 이 가장 작은 수이다. 순환소수를 순환마디가 반복되는 모습으로 표현하여 자리를 비교한다.","$0.12\\dot{7},0.127 \\\\$ $0.127 \\\\ 0.12 \\dot{7}=0.12777 \\ldots \\\\ 0.1 \\dot{2} \\dot{7}=0.1272727 \\ldots \\\\ 0 . \\dot{1} 2 \\dot{7}=0.127127 \\ldots \\\\$",111.수학 과목 문제생성 데이터,validation
00041_39996,M2_1_01_00041_39996_A.png,분모를 잘못 보았을 때 $ 1 . \\dot{7} $ 이므로 $ 1 . \\dot{7}=\\frac{17-1}{9}=\\frac{16}{9} $ 영수는 분모를 잘못 보았으므로 분자는 제대로 보았다. $ \\therefore $ (분자) $ =16 $ 분자를 잘못 보았을 때 $ 1 . \\mathrm{1} \\dot{7} $ 이므로 1. $ \\mathrm{1} \\dot{7}=\\frac{117-1}{99}=\\frac{116}{99} $ 철수는 분자를 잘못 보았으므로 분모는 제대로 보았다. $ \\therefore $ [ 분모] $ =99 $ $ \\therefore $ (처음의 분수) $ =\\frac{16}{99}   $ 먼저 잘못 보아 나타낸 수를 분수로 나타낸다.,④,111.수학 과목 문제생성 데이터,validation
00041_45178,M2_1_01_00041_45178_A.png,"① $0.34$는 유한소수이므로 순환소수가 아니다. ② $ -4.025275275275 \\ldots $는 $275$가 한없이 되풀이되므로 순환소수이다. ③ $0.232232223\\ldots$은 $2$와 $3$으로만 이루어졌지만 $2$가 계속 추가되므로 순환소수가 아니다. ④ $0.456456456$은 유한소수이므로 순환소수가 아니다. ⑤ $3.1223331122333\\ldots$은 $1$, $2$, $3$으로만 이루어졌지만 $1$이 계속 추가되므로 순환소수가 아니다. 순환소수는 무한소수 중에서 소수점 아래 어떤 자리에서부터 일정한 숫자의 배열이 한없이 되풀이 되는 소수이다.",②,111.수학 과목 문제생성 데이터,validation
