question_id,question_filename,question_grade,question_term,question_unit,question_topic,question_topic_name,question_type1,question_type2,question_condition,question_step,question_sector1,question_sector2,question_difficulty,question_contents,figure_text,question_text,source,label
00041_35800,M2_1_01_00041_35800.png,M2,1,01,8101001,유한소수와 무한소수 구분하기,선택형,2,0,기본,이해,수와 연산,2,0,,다음 분수를 소수로 나타내었을 때 유한소수가 아닌 것은?  ① $ \\frac{1}{2} $ ② $ \\frac{3}{4} $ ③ $ \\frac{2}{5} $ ④ $ \\frac{7}{10} $ ⑤ $ \\frac{20}{15} $,111.수학 과목 문제생성 데이터,validation
00041_35804,M2_1_01_00041_35804.png,M2,1,01,8101014,순환소수를 분수로 나타내는 방법1-원리 이용,단답형,2,0,기본,이해,수와 연산,2,0,,"다음은 순환소수 $0.\\dot{2}3\\dot{4}$ 를 분수로 고치는 과정이다. $ A, B, C, D $ 에 알맞은 수를 구하여라.  $0.\\dot{2}3\\dot{4}$를 $x$ 라 하면  $x=0.234234234 \\ldots  \\ldots \\ldots$ (가)  (가)의 양변에 $1000$ 을 곱하면  $A x=234.234234234 \\ldots  \\ldots \\ldots$ (나)  (나)에서 (가)를 빼면  $\\therefore x=D$",111.수학 과목 문제생성 데이터,validation
00041_35817,M2_1_01_00041_35817.png,M2,1,01,8101015,순환소수를 분수로 나타내는 방법2-공식 이용,선택형,2,0,기본,계산,수와 연산,2,0,,소수 $ 0.2363636 \\ldots $ 을 기약분수로 나타내면 $ \\frac{b}{a} $ 가 된다고 한다. 다음 순환소수 중 기약분수로 나타내었을 때. 분모의 값이 $ a $인 것은? ① $ 2.3 \\dot{5} \\dot{4} $ ② $ 0.0 \\dot{5} \\dot{4} $ ③ $ 0.1 \\dot{9} \\dot{2} $ ④ $ 0.4 \\dot{0} \\dot{9} $ ⑤ $ 1.4 \\dot{0} \\dot{9} $,111.수학 과목 문제생성 데이터,validation
00041_39914,M2_1_01_00041_39914.png,M2,1,01,8101024,유리수,선택형,2,1,기본,추론,수와 연산,2,0,,"다음 중 분모와 분자가 모두 정수인 분수로 나타낼 수 있는 수를 모두 고르면? (단, 분모는 $0$이 아니다.) (정답 $2$개) (1) $ 0.1121231234 \\cdots $ (2) $ \\pi $ (3) $2$ (4) $ 1.010010001 \\cdots $ (5) $3.12$",111.수학 과목 문제생성 데이터,validation
00041_39925,M2_1_01_00041_39925.png,M2,1,01,8101006,유한소수가 되도록 하는 미지수의 값 구하기(3)-분모에 미지수,선택형,2,0,기본,추론,수와 연산,2,0,,"분수 $ \\frac{21}{2^{2} \\times 5 \\times a} $을 소수로 나타내면 유한소수가 된다고 할 때, 다음 중 $a$의 값이 될 수 없는 것은? ①$2$ ②$3$ ③$5$ ④$7$ ⑤$9$",111.수학 과목 문제생성 데이터,validation
00041_39930,M2_1_01_00041_39930.png,M2,1,01,8101006,유한소수가 되도록 하는 미지수의 값 구하기(3)-분모에 미지수,선택형,2,1,기본,이해,수와 연산,2,0,,"x에 관한 일차방정식 ax=15의 해를 유한소수로 나타낼 수 있다고 한다. 다음 중 a의 값으로 적당한 것은? (단,a≠0) ①14 ②20 ③36 ④42 ⑤90",111.수학 과목 문제생성 데이터,validation
00041_39937,M2_1_01_00041_39937.png,M2,1,01,8101011,순환소수의 표현,단답형,2,0,기본,이해,수와 연산,3,0,,"다음 순환소수의 순환마디를 말하고, 옳게 표현하여라. (1) $ 3.252525 \\ldots $ (2) $ 2.34567567567 \\ldots $ (3) $ 8.921292929 \\ldots $",111.수학 과목 문제생성 데이터,validation
00041_39955,M2_1_01_00041_39955.png,M2,1,01,8101001,유한소수와 무한소수 구분하기,단답형,2,0,기본,이해,수와 연산,2,0,,"다음 분수를 소수로 나타내고, 유한소수인지 무한소수인지 구별하여라. (1) $ \\frac{3}{4} $ (2) $ \\frac{11}{6} $ (3) $ \\frac{3}{5} $ (4) $ \\frac{1}{6} $",111.수학 과목 문제생성 데이터,validation
00041_39994,M2_1_01_00041_39994.png,M2,1,01,8101018,순환소수의 대소관계,단답형,1,0,기본,추론,수와 연산,2,0,,다음 네 수 중 가장 큰 수와 가장 작은 수를 차례로 골라라. $ \\begin{array}{llll}0.127 & 0.12 \\dot{7} & 0.1 \\dot{2} \\dot{7} & 0.12 \\dot{7}\\end{array} $,111.수학 과목 문제생성 데이터,validation
00041_39996,M2_1_01_00041_39996.png,M2,1,01,8101021,순환소수로 잘못 나타낸 기약분수,선택형,2,0,기본,문제해결,수와 연산,2,0,,"어떤 기약분수를 소수로 나타내는데 영수는 분모를 잘못 보아 $ 1 . \\dot{7} $ 로 나타내었고, 철수는 분자를 잘못 보아 $ 1 . \\dot{1} \\dot{7} $ 로 나타내었다. 처음의 분수 는? ① $ \\frac{16}{999} $ ② $ \\frac{17}{990} $ ③ $ \\frac{17}{900} $ ④ $ \\frac{16}{99} $ ⑤ $ \\frac{17}{90} $",111.수학 과목 문제생성 데이터,validation
00041_45178,M2_1_01_00041_45178.png,M2,1,01,8101001,유한소수와 무한소수 구분하기,선택형,2,0,기본,이해,수와 연산,3,0,,다음 중에서 순환소수인 것은?① $0.34$ ② $ -4.025275275275 \\ldots $ ③ $ 0.232232223 \\ldots $ ④ $0.456456456$ ⑤ $ 3.1223331122333 \\ldots $,111.수학 과목 문제생성 데이터,validation
00041_45186,M2_1_01_00041_45186.png,M2,1,01,8101006,유한소수가 되도록 하는 미지수의 값 구하기(3)-분모에 미지수,선택형,2,0,기본,추론,수와 연산,2,0,,"다음 중 $ \\frac{3}{5 \\times x} $ 을 소수로 나타낼 때, 무한소수가 되게 하는 자연수 $ x $ 의 값은? ①$2$ ②$3$ ③$6$ ④$7$ ⑤$8$",111.수학 과목 문제생성 데이터,validation
00041_45192,M2_1_01_00041_45192.png,M2,1,01,8101018,순환소수의 대소관계,선택형,2,0,기본,추론,수와 연산,2,0,,다음 중에서 가장 큰 수는?  ① 0.5678 ② $ 0.567 \\dot{8} $ ③ $ 0.56 \\dot{7} \\dot{8} $ ④ $ 0.5 \\dot{6} 7 \\dot{8} $ ⑤ $ 0 . \\dot{5} 67 \\dot{8} $,111.수학 과목 문제생성 데이터,validation
00041_45195,M2_1_01_00041_45195.png,M2,1,01,8101020,순환소수를 포함한 식의 계산,선택형,2,0,기본,계산,수와 연산,2,0,,$0.{5}\\dot{4}  \\div  0.{1}\\dot{5}$를 계산하면?  ①$3.5$  ②$3.\\dot{5}$  ③$3.{5}\\dot{6}$  ④$3.6$  ⑤ $3.\\dot{6}$,111.수학 과목 문제생성 데이터,validation
00041_45198,M2_1_01_00041_45198.png,M2,1,01,8101024,유리수,선택형,2,0,기본,추론,수와 연산,3,0,,다음 중에서 유리수가 아닌 것은?  ①$\\frac{2}{5}②‒\\frac{3}{10}$ ③$‒\\frac{5}{21}$ ④$0$ ⑤$π$,111.수학 과목 문제생성 데이터,validation
00041_45201,M2_1_01_00041_45201.png,M2,1,01,8101003,유한소수로 나타낼수 있는 분수 찾기,선택형,2,0,기본,이해,수와 연산,2,0,,"다음 분수를 소수로 나타낼 때, 유한소수인 것은? (1) $ \\frac{1}{2 \\times 3} $ (2) $ \\frac{21}{2 \\times 3 \\times 5} $ (3) $ \\frac{14}{3 \\times 5 \\times 7} $ (4) $ \\frac{21}{2 \\times 3^{2} \\times 5^{2}} $ (5) $ \\frac{8}{3^{2} \\times 7^{5}} $",111.수학 과목 문제생성 데이터,validation
00042_22657,M2_1_01_00042_22657.png,M2,1,01,8101012,소수점 아래 n번째 자리의 숫자 구하기,단답형,2,0,기본,문제해결,수와 연산,2,0,,"분수 $ \\frac{5}{7} $를 소수로 나타내었을 때 소수점 아래 $101$번째 자리의 숫자를 $ a $라 하고, $ \\frac{5}{11} $를 소수로 나타내었을 때 순환마디의 숫자의 개수를 $ b $개라고 하자. 이때, $ \\frac{b}{a} $를 소수로 나타내어라.",111.수학 과목 문제생성 데이터,validation
00042_22683,M2_1_01_00042_22683.png,M2,1,01,8101021,순환소수로 잘못 나타낸 기약분수,단답형,2,0,기본,문제해결,수와 연산,2,0,,"어떤 기약분수를 소수로 나타내는데 현숙이는 분모를 잘못 보아 $ 0.58 \\dot{3} $ 으로 나타내고, 희영이는 분자를 잘못 보아 $ 0 . \\dot{81} $로 나타내었다. 처음의 기약분수를 소수로 바르게 나타내어라.",111.수학 과목 문제생성 데이터,validation
00042_22684,M2_1_01_00042_22684.png,M2,1,01,8101022,적당한수를 곱하여 순환소수를 유한소수로 나타내기,단답형,2,0,기본,이해,수와 연산,2,0,,$ 0.08 \\dot{3} $ 과 $ \\frac{45}{11} $에 어떤 자연수 A를 각각 곱하면 두 수 모두 유한소수로 나타낼 수 있다고 한다. 이를 만족하는 A 중에서 가장 작은 자연수를 구하여라.,111.수학 과목 문제생성 데이터,validation
00042_22691,M2_1_01_00042_22691.png,M2,1,01,8101022,적당한수를 곱하여 순환소수를 유한소수로 나타내기,단답형,2,0,기본,문제해결,수와 연산,2,0,,순환소수 $0.72$ 에 어떤 자연수를 곱하면 유한소수가 된다고 한다. 이것을 만족하는 자연수 중 두 자리의 수는 모두 몇 개인지 구하여라.,111.수학 과목 문제생성 데이터,validation
00042_22695,M2_1_01_00042_22695.png,M2,1,01,8101021,순환소수로 잘못 나타낸 기약분수,단답형,2,0,기본,문제해결,수와 연산,2,0,,"어떤 기약분수를 소수로 나타내는데 은성이는 분모를 잘못 보아 $0.16\\dot{7}$로 나타내었고, 재성이는 분자를 잘못 보아 $0.\\dot{4}\\dot{7}$로 나타내었다. 처음 기약분수를 소수로 바르게 나타내어라.",111.수학 과목 문제생성 데이터,validation
00042_22711,M2_1_01_00042_22711.png,M2,1,01,8101024,유리수,단답형,1,0,기본,추론,수와 연산,2,0,,"다음 중 정수가 아닌 유리수는 모두 몇 개인지 구하여라. $ 0,-4,5,2 . \\dot{7} \\dot{3},-6, \\frac{1}{2 \\times 3 \\times 5}, \\frac{5}{99}, \\pi $",111.수학 과목 문제생성 데이터,validation
00043_25704,M2_1_01_00043_25704.png,M2,1,01,8101013,순환소수가 되도록 하는 미지수의 값 구하기,단답형,2,0,기본,추론,수와 연산,2,0,,"분수 $\\frac{1}{2},\\frac{1}{3}$, …, $\\frac{1}{100}$ 중에서 순환소수로만 나타낼 수 있는 분수는 모두 몇 개인지 구하여라.",111.수학 과목 문제생성 데이터,validation
00043_25706,M2_1_01_00043_25706.png,M2,1,01,8101014,순환소수를 분수로 나타내는 방법1-원리 이용,선택형,1,0,기본,이해,수와 연산,2,0,,"다음은 순환소수를 분수로 나타내는 과정이다. (가), (나), (다)에 들어갈 수들의 합은?  $1.4\\dot{7}\\dot{1}$을 $x$라 하면 $x=1.4717171$…  (가) $x=1471.7171$… …$㉠$  (나) $x=14.717171$… …$㉡$  $㉠‒㉡$을 하면  (다) $x=1457$  $\\therefore x=\\frac{1457}{(다)}$  ①$2000$  ②$2100$  ③$2200$  ④$2300$  ⑤$2400$",111.수학 과목 문제생성 데이터,validation
00043_26682,M2_1_01_00043_26682.png,M2,1,01,8101003,유한소수로 나타낼수 있는 분수 찾기,단답형,1,0,실생활응용,이해,수와 연산,2,1,,"프로야구 선수 $A, B, C$의 타수와 안타 수가 다음 표와 같을 때. $ \\frac{\\text { (안 타 수) }}{\\text { (타수) }} $ 를 유한소수로 나타낼 수 있는 선수를 모두 말하여라. <table border> <caption></caption>   <tbody>     <tr>       <td>선수</td>       <td>타수</td>       <td>안타수</td>     </tr>     <tr>       <td>$A$</td>       <td c$450$</td>       <td>$144$</td>     </tr>     <tr>       <td>$B$</td>       <td $440$</td>       <td>$175$</td>     </tr>     <tr>       <td>$C$</td>       <td $480$</td>       <td>$156$</td>     </tr> </tbody> </table>",111.수학 과목 문제생성 데이터,validation
00043_26705,M2_1_01_00043_26705.png,M2,1,01,8101010,순환마디 구하기,선택형,2,0,기본,추론,수와 연산,2,0,,"다음 중 분수를 소수로 나타내었을 때, 순환마디를 이루는 숫자의 개수가 가장 많은 것은?  ① $ \\frac{2}{9} $ ② $ \\frac{5}{11} $ ③ $ \\frac{7}{12} $ ④ $ \\frac{9}{13} $ ⑤ $ \\frac{5}{6} $",111.수학 과목 문제생성 데이터,validation
00043_26784,M2_1_01_00043_26784.png,M2,1,01,8101011,순환소수의 표현,선택형,2,1,기본,이해,수와 연산,3,0,,다음 중 순환소수의 표현이 옳지 \\underline{않은} 것을 모두 고르면?  (1) $ 0.474747 \\ldots=0 . \\dot{4} \\dot{7}$ (2) $ 3.173173 \\ldots=\\dot{3} .1 \\dot{7} $ (3) $ 6.030303 \\ldots=6.0 \\dot{3} $ (4) $ 0.237237 \\ldots=0. \\dot{2} \\dot{3} \\dot{7} $ (5) $ 1.0343434 \\ldots=1.0 \\dot{3} \\dot{4} $,111.수학 과목 문제생성 데이터,validation
00043_26803,M2_1_01_00043_26803.png,M2,1,01,8101020,순환소수를 포함한 식의 계산,단답형,2,0,기본,계산,수와 연산,1,0,,"함수 $ f[x]=\\frac{1-x}{1+x} $ 에 대하여 $ f[f[0 . \\dot{4}]] $의 값을 기약분수로 나타내면 $ \\frac{a}{9} $이다. 이때, 자연수 $a$의 값을 구하여라.",111.수학 과목 문제생성 데이터,validation
00043_26804,M2_1_01_00043_26804.png,M2,1,01,8101023,순환소수의 응용,단답형,2,0,기본,추론,수와 연산,2,0,,"$ a=\\frac{1}{6}(0.6+0.09+0.006+0.0009+\\ldots) $를 순환소수로 나타내었을 때, 순환마디를 구하여라.",111.수학 과목 문제생성 데이터,validation
00043_26816,M2_1_01_00043_26816.png,M2,1,01,8101023,순환소수의 응용,단답형,2,1,기본,문제해결,수와 연산,1,0,,"유리수 $ \\frac{1}{n} $ (단, $ 11 \\leq n \\leq 99, n $ 은 자연수)을 소수로 나타낼 때, 유한소수의 개수를 $ a $,순환소수의 개수를 $ b $ 라고 하자. 이때, $ \\frac{3 a}{100 b} $ 를 소수로 나타낸 수의 소수점 아래 첫째 자리부터 소수점 아래 $30$ 번째 자리까지의 숫자의 합을 구하여라.",111.수학 과목 문제생성 데이터,validation
00043_26818,M2_1_01_00043_26818.png,M2,1,01,8101023,순환소수의 응용,단답형,2,1,기본,추론,수와 연산,1,0,,"$ a, b $ 의 값이 $ 3,4,5,6,7 $ 중 어느 하나일 때, $ \\frac{a}{b} $ 가 무한소수로만 나타내기 위한 순서쌍 $ (a, b) $ 의 개수를 구하여라. (단, $ a \\neq b $ )",111.수학 과목 문제생성 데이터,validation
00043_26875,M2_1_01_00043_26875.png,M2,1,01,8101003,유한소수로 나타낼수 있는 분수 찾기,단답형,1,0,기본,이해,수와 연산,2,0,,"다음 <보기>의 분수를 소수로 나타낼 때, 유한소수인 것을 모두 골라라.<보기> ㄱ. $ \\frac{3}{18} $ ㄴ. $ \\frac{15}{60} $ ㄷ. $ \\frac{27}{2 \\times 3^{3} \\times 5} $ ㄹ. $ \\frac{18}{2^{2} \\times 3 \\times 5} $ ㅁ. $ \\frac{11}{210} $",111.수학 과목 문제생성 데이터,validation
00043_26886,M2_1_01_00043_26886.png,M2,1,01,8101007,유한소수가 되도록 하는 값을 구하고 기약분수로 나타내기,선택형,2,1,기본,이해,수와 연산,2,0,,"$ \\frac{x}{45} $ 를 기약분수로 나타내면 $ \\frac{4}{y} $ 가 되고, 이것을 소수로 나타내면 유한소수가 된다. 이때, $ x+y $ 의 값은? (단, $ 30<x<40 $ ) (1) $ 35$ (2) $ 38$ (3) $ 41$ (4) $ 45$ (5) $ 49$",111.수학 과목 문제생성 데이터,validation
